ema_fast_len,ema_slow_len,rsi_len,atr_period,atr_sl_factor,atr_tp_factor,total_profit_usd,win_rate,max_drawdown_usd,sharpe_ratio
8.0,21.0,13.0,14.0,0.5,3.5,174.5518880380248,1.0,0.0,
8.0,21.0,14.0,13.0,0.5,3.5,174.5518880380248,1.0,0.0,
8.0,21.0,14.0,13.0,0.4,3.5,174.5518880380248,1.0,0.0,
8.0,21.0,13.0,15.0,0.6,3.5,174.5518880380248,1.0,0.0,
8.0,20.0,14.0,13.0,0.5,3.5,174.5518880380248,1.0,0.0,
8.0,21.0,13.0,15.0,0.5,3.5,174.5518880380248,1.0,0.0,
8.0,20.0,14.0,13.0,0.6,3.5,174.5518880380248,1.0,0.0,
8.0,20.0,15.0,15.0,0.4,3.5,174.5518880380248,1.0,0.0,
8.0,20.0,14.0,14.0,0.4,3.5,174.5518880380248,1.0,0.0,
8.0,20.0,14.0,14.0,0.5,3.5,174.5518880380248,1.0,0.0,
8.0,21.0,13.0,14.0,0.6,3.5,174.5518880380248,1.0,0.0,
8.0,20.0,14.0,14.0,0.6,3.5,174.5518880380248,1.0,0.0,
8.0,20.0,14.0,15.0,0.4,3.5,174.5518880380248,1.0,0.0,
8.0,21.0,13.0,14.0,0.4,3.5,174.5518880380248,1.0,0.0,
8.0,20.0,14.0,15.0,0.5,3.5,174.5518880380248,1.0,0.0,
8.0,21.0,13.0,13.0,0.6,3.5,174.5518880380248,1.0,0.0,
8.0,20.0,14.0,15.0,0.6,3.5,174.5518880380248,1.0,0.0,
8.0,20.0,15.0,13.0,0.4,3.5,174.5518880380248,1.0,0.0,
8.0,21.0,13.0,13.0,0.5,3.5,174.5518880380248,1.0,0.0,
8.0,20.0,15.0,13.0,0.5,3.5,174.5518880380248,1.0,0.0,
8.0,21.0,13.0,13.0,0.4,3.5,174.5518880380248,1.0,0.0,
8.0,20.0,15.0,13.0,0.6,3.5,174.5518880380248,1.0,0.0,
8.0,20.0,15.0,14.0,0.4,3.5,174.5518880380248,1.0,0.0,
8.0,20.0,15.0,15.0,0.6,3.5,174.5518880380248,1.0,0.0,
8.0,20.0,15.0,14.0,0.5,3.5,174.5518880380248,1.0,0.0,
8.0,20.0,15.0,15.0,0.5,3.5,174.5518880380248,1.0,0.0,
8.0,20.0,15.0,14.0,0.6,3.5,174.5518880380248,1.0,0.0,
8.0,20.0,14.0,13.0,0.4,3.5,174.5518880380248,1.0,0.0,
8.0,21.0,13.0,15.0,0.4,3.5,174.5518880380248,1.0,0.0,
8.0,21.0,14.0,13.0,0.6,3.5,174.5518880380248,1.0,0.0,
8.0,21.0,15.0,15.0,0.6,3.5,174.5518880380248,1.0,0.0,
8.0,21.0,15.0,15.0,0.4,3.5,174.5518880380248,1.0,0.0,
8.0,21.0,15.0,14.0,0.5,3.5,174.5518880380248,1.0,0.0,
8.0,20.0,13.0,14.0,0.4,3.5,174.5518880380248,1.0,0.0,
8.0,21.0,15.0,14.0,0.4,3.5,174.5518880380248,1.0,0.0,
8.0,21.0,15.0,13.0,0.6,3.5,174.5518880380248,1.0,0.0,
8.0,20.0,13.0,15.0,0.6,3.5,174.5518880380248,1.0,0.0,
8.0,20.0,13.0,14.0,0.5,3.5,174.5518880380248,1.0,0.0,
8.0,21.0,15.0,15.0,0.5,3.5,174.5518880380248,1.0,0.0,
8.0,21.0,15.0,13.0,0.5,3.5,174.5518880380248,1.0,0.0,
8.0,21.0,15.0,13.0,0.4,3.5,174.5518880380248,1.0,0.0,
8.0,20.0,13.0,13.0,0.5,3.5,174.5518880380248,1.0,0.0,
8.0,20.0,13.0,13.0,0.6,3.5,174.5518880380248,1.0,0.0,
